Data Medicao,INSOLACAO TOTAL; DIARIO(h),PRECIPITACAO TOTAL; DIARIO(mm),TEMPERATURA MEDIA COMPENSADA; DIARIA(°C),UMIDADE RELATIVA DO AR; MEDIA DIARIA(%),VENTO; VELOCIDADE MEDIA DIARIA(m/s),has_Foco
26/04,7.7,0.0,25.92,56.0,1.333333,0
27/04,7.5,0.0,26.02,54.0,1.066667,0
28/04,10.0,0.0,24.8,53.0,1.8,0
29/04,9.4,0.0,25.52,69.0,2.9666669999999997,0
30/04,9.2,0.0,25.54,52.0,0.6,0
01/05,9.8,0.0,26.26,50.75,1.166667,0
02/05,9.0,0.0,25.5,49.25,1.9,0
03/05,1.6,0.5,21.8,91.25,2.6,0
04/05,6.8,2.9,23.06,67.75,2.1333330000000004,0
05/05,7.0,1.8,22.88,68.75,1.0,0
06/05,9.5,0.1,24.7,62.25,1.9333330000000002,0
07/05,7.2,0.0,24.46,64.25,1.233333,0
08/05,6.1,4.8,24.14,67.0,1.5,0
09/05,6.9,0.7,23.84,69.25,1.5,0
10/05,6.5,0.0,25.12,65.0,1.5,0
11/05,5.6,0.0,26.44,62.5,1.2,0
12/05,7.6,0.0,26.4,60.0,1.9666669999999997,0
13/05,8.9,0.0,27.18,55.75,1.366667,0
14/05,5.5,0.0,25.22,62.5,1.233333,0
15/05,7.2,0.0,25.14,60.75,1.233333,0
16/05,3.5,0.0,25.78,64.75,0.833333,0
17/05,1.9,31.8,22.5,83.75,1.166667,0
18/05,3.6,2.5,23.36,75.75,1.166667,0
19/05,6.0,0.0,24.0,66.0,1.566667,0
20/05,2.1,0.2,23.22,69.0,1.533333,0
21/05,0.2,1.5,21.44,79.25,1.333333,0
22/05,1.3,3.6,21.6,85.25,1.666667,0
23/05,1.7,0.6,20.88,90.5,1.833333,0
24/05,5.8,8.3,21.96,81.75,0.933333,0
25/05,4.8,0.0,23.0,75.75,1.4,0
26/05,7.0,0.0,23.28,74.5,0.5,0
27/05,3.1,0.0,23.46,73.75,1.4,0
28/05,7.5,0.0,23.98,67.0,2.0,0
29/05,6.2,0.0,24.14,69.5,1.6,0
30/05,6.6,3.0,23.56,72.5,1.333333,0
31/05,6.9,0.0,23.7,71.25,1.0,0
01/06,8.1,0.0,23.74,65.0,0.966667,0
02/06,7.6,0.0,24.98,64.5,1.6,0
03/06,6.9,0.8,,71.0,1.433333,0
04/06,3.3,0.0,23.4,72.25,1.5,0
05/06,5.0,0.0,24.4,69.75,0.9,0
06/06,7.6,0.0,23.88,61.5,2.0,0
07/06,6.8,2.5,22.1,76.0,1.233333,0
08/06,5.9,0.7,22.08,71.5,1.066667,0
09/06,7.1,0.0,24.84,60.5,1.566667,0
10/06,5.5,0.0,23.34,68.0,1.7,0
11/06,4.1,0.0,23.06,70.25,1.3,0
12/06,3.1,0.2,22.04,83.25,1.9333330000000002,0
13/06,7.6,6.0,23.22,77.25,1.9666669999999997,0
14/06,4.5,0.0,22.36,71.75,1.433333,0
15/06,10.2,0.0,23.3,66.25,1.2,0
16/06,5.1,16.4,23.46,77.0,2.0333330000000003,0
17/06,9.2,0.0,23.44,88.0,1.7666669999999998,0
18/06,8.1,0.0,23.24,79.5,1.166667,0
19/06,6.7,0.0,24.04,68.25,1.266667,0
20/06,8.5,0.0,24.14,66.25,0.933333,0
21/06,7.5,0.0,24.02,64.5,1.333333,0
22/06,6.1,0.0,23.8,70.75,1.133333,0
23/06,5.8,0.0,24.36,66.25,0.866667,0
24/06,7.3,0.0,24.24,63.25,1.566667,0
25/06,9.0,0.0,23.48,62.25,1.633333,0
26/06,0.8,0.3,20.96,84.25,1.8666669999999999,0
27/06,5.4,5.7,20.52,83.75,1.7,0
28/06,2.3,4.2,20.84,87.25,2.5,0
29/06,2.0,20.9,19.94,95.75,0.8,0
30/06,1.9,1.0,20.74,90.5,0.966667,0
01/07,7.3,0.5,20.68,76.0,2.1,0
02/07,6.8,0.0,20.7,67.5,1.5,0
03/07,9.5,0.0,20.62,70.5,1.7,0
04/07,0.9,0.0,19.78,89.5,1.3,0
05/07,1.3,4.6,19.6,92.5,1.4,0
06/07,2.8,12.5,20.54,86.75,0.9,0
07/07,2.2,5.8,19.58,90.5,1.3,0
08/07,6.9,3.4,20.76,78.5,1.133333,0
09/07,8.4,0.0,23.2,68.0,1.066667,0
10/07,2.1,0.6,20.72,75.0,1.3,0
11/07,0.3,0.0,20.7,78.75,1.333333,0
12/07,7.4,0.0,22.52,75.0,0.833333,0
13/07,6.4,0.0,22.82,74.5,0.6,0
14/07,8.5,0.0,23.84,65.25,2.1,0
15/07,5.7,0.0,22.06,77.25,0.8,0
16/07,8.8,0.4,23.14,66.0,1.366667,0
17/07,4.5,0.0,22.28,70.75,1.8666669999999999,0
18/07,8.3,0.0,23.2,65.75,1.166667,0
19/07,6.8,0.0,22.8,68.25,1.433333,0
20/07,6.6,0.0,22.52,70.25,1.233333,0
21/07,4.5,0.0,22.68,69.75,1.0,0
22/07,9.6,0.0,23.54,65.5,1.9,0
23/07,9.5,0.0,23.36,57.0,1.7,0
24/07,7.3,0.0,22.3,64.0,1.466667,0
25/07,9.3,0.0,22.12,62.5,0.9,0
26/07,7.3,0.0,21.18,66.25,0.733333,0
27/07,9.6,0.0,22.48,63.5,1.433333,0
28/07,9.0,0.0,22.96,58.5,1.9333330000000002,0
29/07,2.5,0.2,20.42,91.25,1.233333,0
30/07,7.0,2.5,21.84,68.25,1.5,0
31/07,7.2,0.2,21.7,65.25,2.266667,0
01/08,8.3,0.0,21.2,73.25,2.9666669999999997,0
02/08,7.8,0.3,22.88,59.0,2.1,0
03/08,6.7,0.0,22.6,64.5,2.333333,0
04/08,6.6,0.0,22.62,60.75,1.8666669999999999,0
05/08,9.9,0.0,21.9,57.25,0.533333,0
06/08,8.8,0.0,23.48,55.25,1.5,0
07/08,5.7,0.0,22.7,63.5,1.233333,0
08/08,8.1,0.0,22.98,58.75,1.9666669999999997,0
09/08,5.8,0.2,22.02,67.5,1.533333,0
10/08,6.3,0.0,22.1,63.5,1.633333,0
11/08,4.2,0.7,20.88,85.0,1.533333,0
12/08,1.7,0.7,20.02,83.25,1.4,0
13/08,6.0,1.7,21.6,69.5,1.7,0
14/08,8.6,0.5,22.96,62.5,1.566667,0
15/08,8.4,0.0,22.96,60.0,2.066667,0
16/08,8.2,0.0,23.36,63.75,2.1333330000000004,0
17/08,3.6,3.7,22.32,65.75,2.266667,0
18/08,9.2,1.5,22.44,62.5,1.666667,0
19/08,6.6,0.0,21.68,64.0,1.433333,0
20/08,3.3,2.5,21.38,72.75,2.766667,0
21/08,7.5,1.0,22.62,58.25,1.666667,0
22/08,3.0,0.6,20.22,89.5,2.1,0
23/08,7.9,10.4,21.8,66.0,2.7,0
24/08,8.5,0.8,20.34,80.0,1.7,0
25/08,8.6,8.2,21.7,65.75,2.1333330000000004,0
26/08,1.0,0.0,21.24,75.0,1.3,0
27/08,9.0,0.0,22.12,61.0,1.333333,0
28/08,7.2,0.0,23.24,64.5,1.333333,0
29/08,5.8,0.0,23.22,70.25,1.0,0
30/08,7.2,0.0,23.28,67.5,1.1,0
31/08,9.4,0.0,24.0,58.5,1.433333,0
01/09,7.0,0.0,23.2,64.0,1.4,0
02/09,8.3,0.0,21.96,59.25,1.166667,0
03/09,10.4,0.0,22.62,57.0,1.5,0
04/09,10.8,0.0,24.42,54.5,2.3,0
05/09,10.8,0.0,24.2,53.0,2.833333,0
06/09,9.9,0.0,23.82,54.0,2.0,0
07/09,7.3,0.0,23.2,60.5,2.2,0
08/09,6.0,0.0,24.48,59.25,1.633333,0
09/09,1.3,0.3,23.68,72.5,1.466667,0
10/09,8.0,0.0,25.2,60.0,1.7,0
11/09,10.2,0.0,25.58,60.0,1.7333330000000002,0
12/09,7.7,0.0,26.4,49.75,1.333333,0
13/09,9.1,0.0,25.78,50.25,1.7666669999999998,0
14/09,8.6,0.0,25.46,57.0,2.0,0
15/09,8.9,0.0,25.38,56.25,2.1333330000000004,0
16/09,10.1,0.0,24.86,56.75,2.166667,0
17/09,9.0,0.0,25.3,53.5,1.9333330000000002,0
18/09,8.1,0.0,24.98,54.75,1.566667,0
19/09,8.4,0.0,25.98,55.0,2.066667,0
20/09,9.8,0.0,25.76,54.0,1.7333330000000002,0
21/09,4.1,0.0,23.44,70.0,1.7333330000000002,0
22/09,9.5,0.0,26.6,55.0,2.1333330000000004,0
23/09,8.1,0.0,26.56,54.0,2.0,0
24/09,3.5,0.0,24.52,67.25,2.1333330000000004,0
25/09,7.0,0.0,24.16,65.5,1.433333,0
26/09,11.0,0.0,25.9,53.5,1.166667,0
27/09,4.2,0.0,25.22,63.5,2.4666669999999997,0
28/09,0.6,0.0,23.0,63.5,2.1333330000000004,0
29/09,5.9,0.0,24.06,57.5,2.1,0
30/09,10.3,0.0,24.12,49.75,1.8,0
01/10,8.2,0.0,24.22,54.25,1.566667,0
02/10,8.6,0.0,24.74,54.75,1.466667,0
03/10,8.9,0.0,25.3,60.5,1.833333,0
04/10,7.9,0.0,25.34,60.5,2.3,0
05/10,10.0,1.9,24.68,60.0,1.833333,0
06/10,6.3,0.4,23.4,67.25,1.833333,0
07/10,7.0,0.0,25.04,58.5,2.233333,0
08/10,7.7,2.9,24.36,61.75,1.666667,0
09/10,6.6,0.0,24.5,62.0,2.6,0
10/10,4.9,0.4,24.94,64.25,1.9,0
11/10,6.2,54.6,24.82,70.5,0.933333,0
12/10,6.8,0.0,26.04,68.75,2.1,0
13/10,7.5,0.1,25.82,66.75,1.7,0
14/10,6.2,0.0,23.88,72.5,2.1,0
15/10,11.1,0.9,25.6,56.5,1.9,0
16/10,7.3,0.0,25.36,62.0,2.066667,0
17/10,6.1,0.0,25.06,61.75,1.5,0
18/10,2.6,0.4,24.8,70.25,1.466667,0
19/10,7.2,0.7,25.92,60.25,1.433333,0
20/10,9.0,0.0,26.18,59.75,1.166667,0
21/10,7.9,0.0,26.22,62.0,1.466667,0
22/10,8.5,0.0,26.52,55.0,1.1,0
23/10,6.9,0.0,26.22,59.75,1.266667,0
24/10,7.0,0.0,26.66,57.0,1.3,0
25/10,7.5,0.0,26.76,55.5,1.633333,0
26/10,10.2,0.0,26.08,52.0,1.9333330000000002,0
27/10,9.7,0.0,26.5,53.5,2.066667,0
28/10,8.1,0.0,26.86,52.75,1.066667,0
29/10,7.7,0.0,26.16,55.75,1.133333,0
30/10,7.1,0.0,27.16,56.75,1.0,0
31/10,7.7,0.0,27.5,71.25,1.1,0
01/11,5.4,2.9,28.44,62.5,0.733333,0
02/11,0.4,0.7,24.66,85.5,1.333333,0
03/11,1.7,1.6,23.84,89.5,1.3,0
04/11,0.4,2.9,24.76,79.75,1.2,0
05/11,4.5,0.0,25.44,79.25,1.033333,0
06/11,0.0,3.9,22.46,97.0,1.1,0
07/11,1.3,35.9,24.34,85.75,1.666667,0
08/11,0.2,49.1,23.44,89.0,0.666667,0
09/11,1.9,4.1,24.18,75.0,1.266667,0
10/11,5.0,0.0,25.7,70.75,1.5,0
11/11,1.3,3.5,23.68,84.5,1.233333,0
12/11,0.5,1.7,23.52,80.75,1.4,0
13/11,5.2,0.0,25.6,72.25,1.3,0
14/11,,0.0,25.52,77.0,1.366667,0
15/11,0.7,0.0,25.58,72.0,1.7333330000000002,0
16/11,0.3,0.6,23.76,87.0,1.3,0
17/11,0.0,0.0,23.86,87.0,1.166667,0
18/11,0.6,0.0,24.14,79.25,0.833333,0
19/11,5.2,0.0,25.72,69.0,1.2,0
20/11,5.2,0.0,25.74,69.25,0.833333,0
21/11,2.8,0.0,25.8,70.25,1.2,0
22/11,2.1,0.0,24.62,87.0,0.766667,0
23/11,5.3,0.8,25.44,79.0,1.233333,0
24/11,8.2,0.0,26.24,75.5,1.466667,0
25/11,7.0,0.0,26.14,77.75,1.333333,0
26/11,4.5,12.7,24.78,76.75,1.566667,0
27/11,0.5,0.0,24.66,76.5,1.233333,0
28/11,0.9,0.3,23.46,87.75,1.3,0
29/11,5.5,0.5,27.26,68.25,0.833333,0
30/11,4.6,0.3,25.54,70.5,2.6,0
01/12,9.0,0.0,26.24,59.0,0.666667,0
02/12,9.8,0.0,26.22,60.5,1.666667,0
03/12,5.6,0.0,25.76,65.5,0.933333,0
04/12,5.3,0.0,25.18,68.75,1.466667,0
05/12,7.3,0.0,26.56,65.75,1.1,0
06/12,8.2,1.6,27.3,59.5,1.35,0
07/12,6.7,0.0,27.06,62.0,1.2,0
08/12,6.3,0.0,26.76,63.0,1.833333,0
09/12,7.2,0.0,27.28,61.75,1.166667,0
10/12,3.7,0.1,28.58,61.75,1.133333,0
11/12,5.5,0.0,26.52,79.5,1.6,0
12/12,8.4,2.9,28.06,65.0,1.8,0
13/12,6.2,0.0,26.74,65.5,1.1,0
14/12,5.6,0.0,26.2,66.0,1.266667,0
15/12,11.7,0.0,28.18,48.25,1.633333,0
16/12,10.2,0.0,26.92,51.25,1.8666669999999999,0
17/12,2.5,0.0,25.26,99.0,1.333333,0
18/12,11.5,0.0,27.92,45.5,1.433333,0
19/12,8.9,0.0,27.88,50.0,1.5,0
20/12,8.6,0.0,27.06,55.5,1.633333,0
21/12,9.6,0.0,27.2,51.25,1.7666669999999998,0
22/12,10.2,0.0,27.96,51.75,1.566667,0
23/12,12.0,0.0,27.7,51.25,1.7,1
24/12,12.0,0.0,27.16,53.25,1.266667,0
25/12,8.9,0.0,27.48,53.5,1.233333,0
26/12,9.9,0.0,27.96,55.75,1.566667,1
27/12,7.2,0.0,27.78,58.75,1.433333,0
28/12,9.8,0.0,28.58,52.0,1.6,0
29/12,10.4,0.0,29.0,50.75,2.666667,0
30/12,9.0,0.0,27.56,52.25,1.633333,0
31/12,9.6,0.0,28.14,52.5,1.8,0
01/01,5.3,0.0,27.94,57.5,1.6,0
02/01,6.0,0.0,28.2,58.5,1.9333330000000002,0
03/01,9.0,0.0,27.96,53.75,1.666667,0
04/01,6.3,0.0,27.82,60.25,2.4,0
05/01,4.7,0.0,26.96,67.5,1.266667,0
06/01,6.2,10.7,27.68,60.0,1.3,0
07/01,10.9,0.0,28.06,55.25,1.6,0
08/01,10.4,0.0,28.2,50.75,1.9666669999999997,0
09/01,8.4,0.0,27.0,56.25,1.9333330000000002,0
10/01,5.9,0.0,27.28,58.75,1.166667,0
11/01,5.8,0.0,27.74,54.5,1.9,0
12/01,1.3,0.3,25.86,74.0,1.466667,0
13/01,7.2,0.4,27.66,60.0,1.9333330000000002,0
14/01,8.7,0.1,27.98,56.5,2.2,0
15/01,5.3,0.0,26.52,61.25,3.933333,0
16/01,3.1,0.4,25.94,73.75,0.666667,0
17/01,3.0,26.4,23.8,87.25,1.033333,0
18/01,3.0,37.4,25.08,79.25,0.933333,0
19/01,0.5,3.3,24.52,77.75,2.6333330000000004,0
20/01,7.0,0.4,27.2,61.5,2.6333330000000004,0
21/01,6.2,0.0,25.74,80.75,0.933333,0
22/01,4.3,46.4,24.56,86.25,1.7333330000000002,0
23/01,0.0,124.0,22.88,92.0,1.0,0
24/01,2.8,5.3,25.02,83.0,0.933333,0
25/01,7.3,0.2,26.82,70.5,1.433333,0
26/01,5.8,0.0,27.44,70.5,1.066667,0
27/01,6.2,0.3,27.1,62.75,0.966667,0
28/01,11.0,0.0,28.58,57.75,1.333333,0
29/01,10.0,0.0,27.56,62.5,1.166667,0
30/01,7.5,0.0,27.16,60.5,1.3,0
31/01,11.5,0.0,27.46,61.75,1.266667,0
01/02,10.9,0.0,26.64,57.25,1.2,0
02/02,11.6,0.0,26.52,54.0,1.333333,0
03/02,9.7,0.0,26.82,59.5,0.766667,0
04/02,7.2,0.0,26.98,62.25,1.266667,0
05/02,8.1,0.0,26.84,78.5,0.833333,0
06/02,6.3,0.0,26.62,61.25,1.333333,0
07/02,7.9,1.6,25.88,68.5,1.4,0
08/02,9.2,0.0,27.4,59.75,1.833333,0
09/02,10.8,2.1,27.82,58.0,1.3,0
10/02,10.9,0.0,26.5,57.25,1.7333330000000002,0
11/02,10.9,0.0,26.48,56.5,1.1,0
12/02,8.6,0.0,27.1,57.75,1.8,0
13/02,10.3,0.0,27.38,57.5,1.0,0
14/02,8.6,0.0,27.0,60.25,1.066667,0
15/02,9.0,0.0,27.32,58.0,0.9,0
16/02,10.4,0.0,28.0,56.75,1.1,0
17/02,7.5,0.0,26.9,61.75,1.166667,0
18/02,10.0,0.0,27.58,57.5,1.566667,0
19/02,9.2,0.0,27.08,58.0,0.933333,0
20/02,5.9,0.0,25.72,66.0,2.233333,0
21/02,3.6,0.8,25.48,69.5,1.033333,0
22/02,5.7,0.1,26.54,71.5,0.833333,0
23/02,2.3,1.4,25.78,76.5,1.566667,0
24/02,7.7,1.3,26.54,62.5,2.1333330000000004,0
25/02,3.5,1.3,25.9,75.75,1.566667,0
26/02,5.4,0.0,26.4,68.25,0.966667,0
27/02,6.7,0.0,27.9,63.25,1.1,0
28/02,1.9,0.0,24.84,72.5,0.43333299999999997,0
01/03,9.6,0.2,27.84,55.75,0.833333,0
02/03,8.8,0.0,27.44,54.25,1.833333,0
03/03,10.7,0.0,27.8,50.75,2.1,0
04/03,9.1,0.0,26.72,58.0,1.166667,0
05/03,7.6,0.0,26.92,61.5,1.166667,0
06/03,9.6,0.0,28.34,53.75,1.7,1
07/03,10.0,0.0,27.68,53.5,1.366667,0
08/03,10.8,0.0,26.72,53.75,1.533333,0
09/03,10.3,0.0,26.92,56.0,1.2,0
10/03,7.9,0.0,28.74,56.25,2.066667,0
11/03,7.7,0.0,28.68,60.0,0.9,0
12/03,9.7,0.0,29.92,54.75,0.933333,0
13/03,10.7,0.0,29.38,56.25,1.233333,1
14/03,5.1,0.0,27.88,64.5,1.4,0
15/03,8.2,0.0,27.78,54.0,2.0,1
16/03,4.9,0.0,26.74,65.5,2.233333,0
17/03,4.8,0.3,27.62,60.25,1.433333,1
18/03,5.4,0.1,26.86,67.5,1.166667,0
19/03,7.8,0.0,26.9,70.25,1.1,0
20/03,8.9,0.0,27.38,57.0,1.5,0
21/03,5.9,0.5,26.68,67.25,1.3,0
22/03,6.8,2.8,25.92,69.25,0.8,0
23/03,5.6,0.0,27.04,65.5,1.033333,0
24/03,4.2,68.2,25.42,77.25,1.1,0
25/03,2.4,0.0,24.98,73.5,1.233333,0
26/03,6.6,0.0,26.16,69.25,0.9,0
27/03,7.7,0.0,27.16,66.0,0.766667,0
28/03,9.8,0.0,28.64,57.75,1.1,0
29/03,8.3,0.0,27.16,58.5,1.133333,0
30/03,4.9,0.0,25.56,68.5,0.866667,0
31/03,8.6,2.1,26.46,68.0,1.5,0
01/04,10.9,0.3,26.64,53.0,1.166667,0
02/04,6.9,1.1,25.42,74.5,1.9,0
03/04,7.6,0.4,26.4,61.5,1.633333,0
04/04,10.8,0.0,26.14,55.5,1.1,0
05/04,9.9,0.0,28.34,57.0,1.333333,0
06/04,9.0,0.0,29.16,57.5,1.033333,0
07/04,5.6,0.0,28.76,59.0,0.866667,0
08/04,5.0,15.2,25.96,78.5,0.866667,0
09/04,6.5,0.0,26.78,69.5,0.9,0
10/04,6.3,0.0,26.78,67.25,0.933333,0
11/04,7.3,3.0,25.7,70.75,0.6,0
12/04,8.9,0.0,26.46,62.5,0.5,0
13/04,7.9,0.0,26.88,56.5,1.466667,0
14/04,10.2,0.0,29.52,55.25,1.0,0
15/04,4.2,0.0,26.46,77.0,2.233333,0
16/04,4.1,1.5,26.52,77.75,2.233333,0
17/04,0.0,24.0,22.6,92.25,1.333333,0
18/04,7.4,0.1,25.1,74.5,1.433333,0
19/04,4.6,3.0,24.28,81.75,0.43333299999999997,0
20/04,2.6,0.0,24.18,75.5,2.2,0
21/04,5.9,0.5,24.1,70.25,2.066667,0
22/04,10.0,0.8,25.36,56.75,2.3666669999999996,0
23/04,7.7,0.0,23.74,66.5,2.066667,0
24/04,9.3,0.0,23.7,70.25,2.233333,0
25/04,3.7,0.0,24.72,64.25,2.3,0
26/04,3.7,0.0,25.08,63.5,1.333333,0
27/04,7.4,0.0,25.46,61.75,2.066667,0
28/04,7.6,3.5,23.88,70.0,0.866667,0
29/04,6.4,0.0,24.14,66.75,1.9333330000000002,0
30/04,6.1,0.0,25.8,61.25,1.4,0
01/05,5.6,0.0,25.5,63.75,1.533333,0
02/05,7.5,0.0,25.06,64.25,1.4,0
03/05,3.0,0.0,25.04,71.75,2.1,0
04/05,7.7,10.7,24.28,72.25,1.0,0
05/05,7.8,0.0,24.02,68.75,1.333333,0
06/05,7.1,0.0,25.46,65.25,1.0,0
07/05,6.4,0.0,26.32,64.0,0.833333,0
08/05,9.9,0.0,27.2,54.25,1.0,0
09/05,6.7,0.0,26.34,58.75,1.3,0
10/05,4.5,0.2,24.02,71.75,2.4,0
11/05,6.4,0.7,25.12,56.25,3.166667,0
12/05,1.7,0.0,23.36,83.25,2.2,0
13/05,4.3,8.2,22.48,83.0,1.633333,0
14/05,8.5,4.1,24.82,66.25,2.333333,0
15/05,5.3,0.0,24.44,73.5,1.166667,0
16/05,4.0,0.0,24.3,73.25,1.633333,0
17/05,9.5,0.8,25.9,63.5,1.566667,0
18/05,5.1,0.0,24.78,63.0,1.333333,0
19/05,6.3,0.0,24.52,64.25,1.7,0
20/05,1.0,0.0,23.82,69.75,1.7,0
21/05,5.1,0.0,24.08,69.0,0.833333,0
22/05,9.1,0.0,26.06,61.0,1.166667,0
23/05,7.8,0.0,26.54,59.25,1.066667,0
24/05,7.6,0.0,27.74,59.0,0.966667,0
25/05,7.1,0.3,26.38,65.75,2.2,0
26/05,0.2,11.9,22.16,94.75,1.166667,0
27/05,1.5,10.2,21.94,85.0,1.233333,0
28/05,6.9,0.1,23.84,73.0,0.866667,0
29/05,7.8,0.0,24.56,70.5,0.9,0
30/05,7.6,0.0,25.08,68.25,1.0,0
31/05,8.9,0.0,25.5,62.0,1.166667,0
01/06,3.3,0.0,24.32,78.75,1.9333330000000002,1
02/06,6.1,0.0,24.42,70.25,1.0,0
03/06,2.8,0.0,23.58,74.5,1.3,0
04/06,2.8,0.0,23.44,76.75,0.766667,0
05/06,1.9,0.7,23.94,71.75,2.066667,0
06/06,5.2,2.0,22.96,76.75,1.8,0
07/06,5.5,4.7,23.4,77.0,1.466667,0
08/06,3.2,0.3,21.92,85.5,1.3,0
09/06,5.3,3.7,23.16,72.75,1.3,0
10/06,8.1,0.0,23.92,62.5,2.233333,0
11/06,5.4,0.0,23.9,66.75,1.566667,0
12/06,1.8,0.1,23.02,79.5,1.633333,0
13/06,5.4,26.4,21.64,82.5,1.2,0
14/06,8.1,0.0,22.78,70.75,1.5,0
15/06,6.0,3.0,22.44,72.0,1.7333330000000002,0
16/06,4.5,0.5,22.92,80.5,1.8,0
17/06,5.4,0.0,23.42,72.5,1.233333,0
18/06,3.8,0.1,23.24,75.0,1.1,0
19/06,1.8,7.7,22.18,93.25,1.166667,0
20/06,3.9,6.4,22.32,85.0,1.7666669999999998,0
21/06,7.0,1.3,22.88,77.5,0.933333,0
22/06,6.1,0.0,24.26,73.25,0.633333,0
23/06,9.7,0.0,25.3,65.0,2.166667,0
24/06,0.6,3.0,21.46,87.25,1.566667,0
25/06,6.3,5.7,21.94,80.0,1.0,0
26/06,8.1,0.2,23.06,69.75,2.7,0
27/06,6.0,0.6,21.92,72.5,1.366667,0
28/06,4.7,3.5,22.4,80.75,0.733333,0
29/06,5.5,0.1,23.26,72.25,1.0,0
30/06,9.2,0.0,24.2,60.0,1.266667,0
01/07,9.7,0.0,22.8,64.25,1.5,0
02/07,9.8,0.0,23.2,62.5,2.1333330000000004,0
03/07,9.4,0.0,23.58,58.25,2.5333330000000003,0
04/07,3.7,0.0,21.06,85.0,1.833333,0
05/07,0.2,1.0,19.48,93.0,2.5,0
06/07,3.8,8.1,20.44,81.5,1.6,0
07/07,5.5,2.2,21.22,78.25,1.0,0
08/07,3.9,0.8,22.02,75.5,1.233333,0
09/07,6.7,2.2,22.04,73.75,2.0,0
10/07,8.4,0.2,20.24,72.5,2.1,0
11/07,0.1,0.0,19.5,83.75,1.9333330000000002,0
12/07,2.8,0.6,19.8,84.75,2.433333,0
13/07,0.0,0.0,20.38,84.75,0.9,0
14/07,4.0,0.9,20.78,74.75,0.966667,0
15/07,3.5,0.0,21.6,76.75,0.833333,0
16/07,7.0,0.0,22.6,69.5,1.033333,0
17/07,5.7,0.0,22.22,64.25,1.7,0
18/07,8.4,0.0,22.24,64.25,1.666667,0
19/07,9.8,0.0,23.08,65.5,1.366667,0
20/07,6.7,1.3,23.26,71.25,0.9,0
21/07,5.9,0.0,22.88,67.25,1.233333,0
22/07,8.3,0.0,22.66,64.0,1.066667,0
23/07,9.2,0.0,23.74,62.5,1.166667,0
24/07,7.4,0.2,23.0,62.25,1.9666669999999997,0
25/07,10.1,0.0,23.08,98.5,1.1,0
26/07,1.7,8.1,21.34,91.5,1.633333,0
27/07,2.3,22.6,21.88,83.0,1.133333,0
28/07,5.1,0.0,22.02,99.5,1.3,0
29/07,6.1,0.0,22.3,100.0,1.6,0
30/07,8.9,0.0,21.88,63.75,1.566667,0
31/07,7.6,0.0,22.1,65.75,1.366667,0
01/08,7.4,0.0,20.74,63.5,1.4,0
02/08,9.5,0.0,19.52,64.0,1.166667,0
03/08,2.5,0.0,19.28,85.5,0.7,0
04/08,8.6,0.5,21.12,69.75,1.7,0
05/08,9.7,0.6,21.8,62.0,1.333333,0
06/08,1.0,0.0,20.8,91.0,1.5,0
07/08,3.3,17.6,20.44,79.5,1.666667,0
08/08,8.2,0.0,21.72,65.5,1.633333,0
09/08,5.8,0.9,21.34,75.0,1.9,0
10/08,6.5,0.3,20.34,77.75,1.633333,0
11/08,7.8,0.0,21.54,69.5,1.6,0
12/08,8.7,0.0,22.28,59.5,1.466667,0
13/08,4.1,0.0,21.72,77.0,1.166667,0
14/08,7.6,0.2,22.54,67.25,1.566667,0
15/08,6.0,0.0,22.68,66.5,1.4,0
16/08,8.7,0.0,23.36,58.0,2.0,0
17/08,8.3,0.0,22.94,62.0,2.166667,0
18/08,4.0,0.3,21.22,69.25,1.4,0
19/08,9.5,0.3,21.12,62.5,1.4,0
20/08,7.3,0.0,20.76,76.75,1.566667,0
21/08,3.0,34.5,19.58,87.0,1.266667,0
22/08,4.2,0.5,22.12,66.0,2.7,0
23/08,6.8,0.0,22.14,63.5,1.7333330000000002,0
24/08,7.6,0.0,22.16,66.25,2.233333,0
25/08,3.2,3.8,19.96,87.5,1.066667,0
26/08,7.6,0.5,20.86,72.75,2.1,0
27/08,6.8,0.0,22.14,71.0,1.233333,0
28/08,8.9,0.0,24.82,59.0,1.133333,0
29/08,6.5,0.0,23.4,67.5,2.833333,0
30/08,1.0,5.4,20.14,86.0,2.766667,0
31/08,0.0,1.8,20.24,76.75,2.4,0
01/09,5.2,5.5,21.0,80.5,2.066667,0
02/09,6.8,1.0,22.2,68.0,1.833333,0
03/09,6.8,0.0,22.3,68.25,0.833333,0
04/09,6.4,0.0,,63.5,1.633333,0
05/09,10.3,0.0,24.24,54.25,2.7,0
06/09,10.9,0.0,23.24,58.75,2.9666669999999997,0
07/09,6.4,0.0,22.2,76.25,2.566667,0
08/09,3.3,5.3,21.0,84.0,1.4,0
09/09,8.5,1.6,22.22,68.5,1.833333,0
10/09,5.7,0.2,21.94,65.0,2.066667,0
11/09,4.8,3.6,19.66,77.0,2.266667,0
12/09,2.9,4.8,20.06,76.5,1.9,0
13/09,7.5,0.9,21.18,76.75,2.9,0
14/09,6.3,0.0,22.98,66.0,2.233333,0
15/09,6.8,1.1,23.64,69.25,1.7,0
16/09,4.4,2.3,22.66,76.5,0.866667,0
17/09,6.6,3.4,23.38,69.25,1.066667,0
18/09,5.3,0.1,24.22,65.25,1.5,0
19/09,2.5,4.7,21.68,83.75,2.2,0
